timestamp,demand_mw,hour,day_of_week,is_weekend,demand_normalized
2015-01-14 15:00:00+00:00,50331.0,15,2,0,0.8759252421892857
2015-01-14 16:00:00+00:00,52617.0,16,2,0,0.9161172354378747
2015-01-14 17:00:00+00:00,55819.0,17,2,0,0.9724141568648136
2015-01-14 18:00:00+00:00,55432.0,18,2,0,0.9656100005274539
2015-01-14 19:00:00+00:00,54098.0,19,2,0,0.9421558802327831
2015-01-14 20:00:00+00:00,51492.0,20,2,0,0.8963377112013643
2015-01-14 21:00:00+00:00,48032.0,21,2,0,0.8355046855495192
2015-01-14 22:00:00+00:00,43520.0,22,2,0,0.7561756070116216
2015-01-14 23:00:00+00:00,39264.0,23,2,0,0.6813474690999877
2015-01-15 00:00:00+00:00,34932.0,0,3,0,0.6051831144399318
2015-01-15 01:00:00+00:00,34698.0,1,3,0,0.6010689733987377
2015-01-15 02:00:00+00:00,33116.0,2,3,0,0.5732545668723737
2015-01-15 03:00:00+00:00,32586.0,3,3,0,0.5639362132320622
2015-01-15 04:00:00+00:00,31110.0,4,3,0,0.5379854774337606
2015-01-15 05:00:00+00:00,31228.0,5,3,0,0.540060129753679
2015-01-15 06:00:00+00:00,35418.0,6,3,0,0.6137278689101042
2015-01-15 07:00:00+00:00,43170.0,7,3,0,0.7500219772491517
2015-01-15 08:00:00+00:00,48210.0,8,3,0,0.8386342458287182
2015-01-15 09:00:00+00:00,48830.0,9,3,0,0.8495349614079505
2015-01-15 10:00:00+00:00,49298.0,10,3,0,0.8577632434903388
2015-01-15 11:00:00+00:00,49466.0,11,3,0,0.8607169857763244
2015-01-15 12:00:00+00:00,49658.0,12,3,0,0.8640926912460222
2015-01-15 13:00:00+00:00,49776.0,13,3,0,0.8661673435659405
2015-01-15 14:00:00+00:00,49356.0,14,3,0,0.8587829878509766
2015-01-15 15:00:00+00:00,49376.0,15,3,0,0.8591346238374035
2015-01-15 16:00:00+00:00,51364.0,16,3,0,0.8940872408882325
2015-01-15 17:00:00+00:00,55594.0,17,3,0,0.9684582520175115
2015-01-15 18:00:00+00:00,56046.0,18,3,0,0.9764052253107584
2015-01-15 19:00:00+00:00,54576.0,19,3,0,0.9505599803083847
2015-01-15 20:00:00+00:00,51970.0,20,3,0,0.9047418112769661
2015-01-15 21:00:00+00:00,48454.0,21,3,0,0.8429242048631257
2015-01-15 22:00:00+00:00,43696.0,22,3,0,0.7592700036921779
2015-01-15 23:00:00+00:00,39252.0,23,3,0,0.6811364875081316
2015-01-16 00:00:00+00:00,35802.0,0,4,0,0.6204792798494998
2015-01-16 01:00:00+00:00,35422.0,1,4,0,0.6137981961073896
2015-01-16 02:00:00+00:00,33428.0,2,4,0,0.5787400882606326
2015-01-16 03:00:00+00:00,32850.0,3,4,0,0.5685778082528966
2015-01-16 04:00:00+00:00,31517.0,4,4,0,0.545141269757547
2015-01-16 05:00:00+00:00,31593.0,5,4,0,0.5464774865059691
2015-01-16 06:00:00+00:00,35938.0,6,4,0,0.6228704045572024
2015-01-16 07:00:00+00:00,43738.0,7,4,0,0.7600084392636742
2015-01-16 08:00:00+00:00,49182.0,8,4,0,0.855723754769063
2015-01-16 09:00:00+00:00,50072.0,9,4,0,0.8713715561650579
2015-01-16 10:00:00+00:00,50626.0,10,4,0,0.8811118729890817
2015-01-16 11:00:00+00:00,50938.0,11,4,0,0.8865973943773405
